,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
553,Stefano Sturaro,it ITA,MF,Genoa,26,1993,16,15,"1,252",13.9,1,2,1,0,0,7,0,0.07,0.14,0.22,0.07,0.22,2.1,2.1,1.1,3.2,0.15,0.08,0.23,0.15,0.23,Matches,2019-2020
554,Suso,es ESP,"FW,MF",Milan,25,1993,16,15,"1,359",15.1,1,2,1,0,0,2,0,0.07,0.13,0.20,0.07,0.20,1.2,1.2,3.5,4.7,0.08,0.23,0.31,0.08,0.31,Matches,2019-2020
555,Bosko Sutalo,hr CRO,DF,Atalanta,19,2000,7,3,280,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,Matches,2019-2020
556,Mattias Svanberg,se SWE,MF,Bologna,20,1999,25,12,"1,051",11.7,1,2,1,0,0,2,0,0.09,0.17,0.26,0.09,0.26,2.0,2.0,1.4,3.5,0.17,0.12,0.30,0.17,0.30,Matches,2019-2020
557,Wojciech Szczęsny,pl POL,GK,Juventus,29,1990,29,29,"2,591",28.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
558,Andrea Tabanelli,it ITA,MF,Lecce,29,1990,13,11,964,10.7,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.1,1.1,0.09,0.01,0.10,0.09,0.10,Matches,2019-2020
559,Panagiotis Tachtsidis,gr GRE,MF,Lecce,28,1991,28,24,"2,003",22.3,0,2,0,0,0,7,1,0.00,0.09,0.09,0.00,0.09,0.7,0.7,1.3,1.9,0.03,0.06,0.09,0.03,0.09,Matches,2019-2020
560,Adrien Tameze,cm CMR,MF,Atalanta,25,1994,7,2,211,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.09,0.09,0.00,0.09,Matches,2019-2020
561,Łukasz Teodorczyk,pl POL,"FW,DF",Udinese,28,1991,14,1,222,2.5,0,1,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,0.4,0.4,0.8,1.3,0.18,0.33,0.51,0.18,0.51,Matches,2019-2020
562,Hidde ter Avest,nl NED,DF,Udinese,22,1997,20,6,686,7.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.7,0.02,0.07,0.10,0.02,0.10,Matches,2019-2020
563,Pietro Terracciano,it ITA,GK,Fiorentina,29,1990,7,7,624,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
564,Aleksa Terzić,rs SRB,"DF,MF",Fiorentina,19,1999,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
565,Demba Thiam,sn SEN,GK,SPAL,21,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
566,Morten Thorsby,no NOR,"MF,DF",Sampdoria,23,1996,24,21,"1,865",20.7,1,1,1,0,0,9,1,0.05,0.05,0.10,0.05,0.10,1.4,1.4,1.2,2.6,0.07,0.06,0.13,0.07,0.13,Matches,2019-2020
