,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
10,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,20,19,"1,748",19.4,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.1,1.5,0.07,0.00,0.08,0.07,0.08,Matches,2017-2018
11,Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,17,8,695,7.7,4,3,4,0,0,0,0,0.52,0.39,0.91,0.52,0.91,2.9,2.9,2.2,5.1,0.38,0.28,0.66,0.38,0.66,Matches,2017-2018
12,Pedro Alcalá,es ESP,DF,Girona,28,1989,8,8,689,7.7,1,0,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,0.8,0.8,0.2,1.0,0.11,0.03,0.14,0.11,0.14,Matches,2017-2018
13,Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
14,Álex Alegría,es ESP,FW,Levante,24,1992,9,8,628,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.17,0.01,0.18,0.17,0.18,Matches,2017-2018
15,Iván Alejo,es ESP,"MF,FW",Eibar,22,1995,22,14,"1,102",12.2,1,3,1,0,0,5,0,0.08,0.25,0.33,0.08,0.33,0.4,0.4,1.3,1.7,0.03,0.10,0.14,0.03,0.14,Matches,2017-2018
16,Alexander,ar ARG,"MF,FW",Leganés,28,1988,13,13,"1,060",11.8,2,2,1,1,1,1,0,0.17,0.17,0.34,0.08,0.25,2.5,1.8,2.3,4.1,0.22,0.20,0.41,0.15,0.35,Matches,2017-2018
17,Alexis,es ESP,DF,Alavés,31,1985,28,25,"2,184",24.3,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.1,0.8,0.03,0.00,0.03,0.03,0.03,Matches,2017-2018
18,José Alonso Lara,es ESP,FW,Sevilla,17,2000,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
19,Sergio Álvarez,es ESP,GK,Celta Vigo,30,1986,17,16,"1,476",16.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,Matches,2017-2018
20,Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,8,7,675,7.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches,2017-2018
21,Eloi Amagat,es ESP,"FW,MF",Girona,32,1985,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.51,0.00,1.51,1.51,1.51,Matches,2017-2018
22,Jordi Amat,es ESP,"DF,MF",Betis,25,1992,25,24,"2,045",22.7,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.02,0.00,0.03,0.02,0.03,Matches,2017-2018
23,Amath,sn SEN,"MF,FW",Getafe,21,1996,37,36,"2,859",31.8,3,3,3,0,0,9,0,0.09,0.09,0.19,0.09,0.19,5.5,5.5,1.9,7.4,0.17,0.06,0.23,0.17,0.23,Matches,2017-2018
24,Nordin Amrabat,ma MAR,"FW,MF",Leganés,30,1987,30,17,"1,623",18.0,2,4,2,0,0,6,1,0.11,0.22,0.33,0.11,0.33,3.2,3.2,3.1,6.3,0.18,0.17,0.35,0.18,0.35,Matches,2017-2018
26,Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
27,Florin Andone,ro ROU,FW,La Coruña,24,1993,29,16,"1,636",18.2,7,3,7,0,1,6,0,0.39,0.17,0.55,0.39,0.55,10.7,9.9,1.0,10.9,0.59,0.06,0.64,0.55,0.60,Matches,2017-2018
28,Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,22,15,"1,442",16.0,4,3,4,0,1,3,0,0.25,0.19,0.44,0.25,0.44,4.9,4.1,1.7,5.8,0.30,0.11,0.41,0.26,0.36,Matches,2017-2018
29,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,33,1984,9,9,764,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
30,Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
31,José Ángel,es ESP,DF,Eibar,27,1989,30,28,"2,426",27.0,0,8,0,0,0,4,0,0.00,0.30,0.30,0.00,0.30,0.4,0.4,3.3,3.8,0.02,0.12,0.14,0.02,0.14,Matches,2017-2018
32,Vitorino Antunes,pt POR,DF,Getafe,30,1987,34,31,"2,799",31.1,0,2,0,0,1,14,0,0.00,0.06,0.06,0.00,0.06,1.6,0.9,2.2,3.0,0.05,0.07,0.12,0.03,0.10,Matches,2017-2018
33,Alberto Aquilani,it ITA,MF,Las Palmas,33,1984,21,15,"1,297",14.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.5,0.05,0.05,0.10,0.05,0.10,Matches,2017-2018
34,Mauro Arambarri,uy URU,MF,Getafe,21,1995,27,26,"2,124",23.6,1,1,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,1.3,1.3,1.2,2.5,0.06,0.05,0.10,0.06,0.10,Matches,2017-2018
35,Guilherme Arana,br BRA,DF,Sevilla,20,1997,3,2,193,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,2017-2018
36,Sergio Araujo,ar ARG,MF,Las Palmas,25,1992,2,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.26,0.00,0.26,0.26,0.26,Matches,2017-2018
37,Anaitz Arbilla,es ESP,DF,Eibar,30,1987,29,26,"2,414",26.8,2,1,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,0.8,0.8,0.4,1.3,0.03,0.02,0.05,0.03,0.05,Matches,2017-2018
38,José Arnaiz,es ESP,MF,Barcelona,22,1995,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
39,Alejandro Arribas,es ESP,DF,La Coruña,28,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,2017-2018
40,Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,"2,700",30.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,2017-2018
41,Aythami Artiles,es ESP,DF,Las Palmas,31,1986,3,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
42,Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23,23,"2,070",23.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,21,1996,32,19,"1,844",20.5,6,6,6,0,0,2,0,0.29,0.29,0.59,0.29,0.59,4.6,4.6,5.2,9.8,0.23,0.25,0.48,0.23,0.48,Matches,2017-2018
44,Iago Aspas,es ESP,FW,Celta Vigo,29,1987,34,33,"2,936",32.6,22,5,20,2,3,9,0,0.67,0.15,0.83,0.61,0.77,17.0,14.7,6.6,21.3,0.52,0.20,0.72,0.45,0.65,Matches,2017-2018
45,Carlos Bacca,co COL,FW,Villarreal,30,1986,35,30,"2,497",27.7,15,6,14,1,1,9,0,0.54,0.22,0.76,0.50,0.72,12.4,11.7,4.6,16.3,0.45,0.17,0.61,0.42,0.59,Matches,2017-2018
46,Cédric Bakambu,cd COD,FW,Villarreal,26,1991,15,15,"1,263",14.0,9,0,8,1,1,5,0,0.64,0.00,0.64,0.57,0.57,6.0,5.2,1.1,6.3,0.42,0.08,0.50,0.37,0.45,Matches,2017-2018
47,Zakaria Bakkali,be BEL,"FW,MF",La Coruña,21,1996,23,10,909,10.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,1.8,0.13,0.05,0.18,0.13,0.18,Matches,2017-2018
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,28,1989,26,20,"1,799",20.0,16,2,15,1,1,5,0,0.80,0.10,0.90,0.75,0.85,10.7,9.9,5.3,15.2,0.54,0.26,0.80,0.50,0.76,Matches,2017-2018
49,Mikel Balenziaga,es ESP,DF,Athletic Club,29,1988,18,18,"1,549",17.2,0,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.8,1.0,0.01,0.05,0.06,0.01,0.06,Matches,2017-2018
50,Éver Banega,ar ARG,MF,Sevilla,29,1988,31,25,"2,399",26.7,3,3,0,3,3,9,1,0.11,0.11,0.23,0.00,0.11,3.8,1.5,5.4,6.9,0.14,0.20,0.34,0.06,0.26,Matches,2017-2018
52,Léo Baptistão,br BRA,"FW,MF",Espanyol,24,1992,36,31,"2,677",29.7,8,3,8,0,0,4,0,0.27,0.10,0.37,0.27,0.37,10.1,10.1,3.9,14.0,0.34,0.13,0.47,0.34,0.47,Matches,2017-2018
