,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
342,Yanis Lhery,fr FRA,"MF,FW",Saint-Étienne,17,2003,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.16,0.00,0.16,0.16,0.16,Matches,2020-2021
343,Dimitri Liénard,fr FRA,MF,Strasbourg,32,1988,34,19,"1,829",20.3,2,4,1,1,2,2,0,0.10,0.20,0.30,0.05,0.25,2.8,1.1,3.9,5.0,0.14,0.19,0.33,0.06,0.25,Matches,2020-2021
344,Isaac Lihadji,fr FRA,"MF,DF",Lille,18,2002,15,1,196,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.6,0.6,0.8,1.4,0.30,0.35,0.65,0.30,0.65,Matches,2020-2021
345,Pol Lirola,es ESP,DF,Marseille,22,1997,19,17,"1,553",17.3,2,2,2,0,0,3,0,0.12,0.12,0.23,0.12,0.23,1.6,1.6,2.0,3.6,0.09,0.12,0.21,0.09,0.21,Matches,2020-2021
346,Anthony Lopes,pt POR,GK,Lyon,29,1990,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
347,Rony Lopes,pt POR,"FW,MF",Nice,24,1995,28,23,"1,783",19.8,3,1,3,0,0,1,0,0.15,0.05,0.20,0.15,0.20,3.2,3.2,3.4,6.5,0.16,0.17,0.33,0.16,0.33,Matches,2020-2021
348,Maxime Lopez,fr FRA,"FW,MF",Marseille,22,1997,4,2,134,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.10,0.10,0.00,0.10,Matches,2020-2021
349,Dion Lopy,sn SEN,MF,Reims,18,2002,4,3,256,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.08,0.02,0.10,0.08,0.10,Matches,2020-2021
350,Jordan Lotomba,ch SUI,DF,Nice,21,1998,30,24,"2,123",23.6,1,0,1,0,0,7,1,0.04,0.00,0.04,0.04,0.04,0.4,0.4,1.6,1.9,0.02,0.07,0.08,0.02,0.08,Matches,2020-2021
351,Adrien Louveau,fr FRA,DF,Lens,20,2000,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
352,Imran Louza,ma MAR,MF,Nantes,21,1999,33,28,"2,379",26.4,7,2,2,5,5,4,1,0.26,0.08,0.34,0.08,0.15,5.8,2.0,2.1,4.2,0.22,0.08,0.30,0.08,0.16,Matches,2020-2021
353,Jean Lucas,br BRA,MF,Lyon,22,1998,8,1,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.08,0.02,0.10,0.08,0.10,Matches,2020-2021
354,Jean Lucas,br BRA,MF,Brest,22,1998,16,11,"1,011",11.2,0,2,0,0,0,4,1,0.00,0.18,0.18,0.00,0.18,1.1,1.1,1.1,2.2,0.10,0.10,0.19,0.10,0.19,Matches,2020-2021
355,Florentino Luís,pt POR,MF,Monaco,20,1999,9,2,241,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.07,0.10,0.04,0.10,Matches,2020-2021
