,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
48,Radek Bejbl,cz CZE,"DF,MF",Lens,28,1972,1,0,5,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,2001-2002
49,Omar Belbey,dz ALG,MF,Montpellier,27,1973,11,6,628,7.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
50,Djamel Belmadi,dz ALG,MF,Marseille,25,1976,10,8,639,7.1,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
52,Chaouki Ben Saada,tn TUN,"FW,MF",Bastia,17,1984,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
53,Selim Benachour,tn TUN,MF,Paris S-G,19,1981,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
54,Ali Benarbia,dz ALG,MF,Paris S-G,32,1968,1,1,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
55,Patrick Beneforti,fr FRA,MF,Bastia,20,1980,28,18,"1,623",18.0,4,0,4,0,0,5,0,0.22,0.00,0.22,0.22,0.22,Matches,2001-2002
56,Bryan Bergougnoux,fr FRA,"FW,MF",Lyon,18,1983,1,0,22,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,2001-2002
57,Franck Béria,fr FRA,DF,Metz,18,1983,5,1,236,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
58,Lucas Bernardi,ar ARG,MF,Monaco,23,1977,23,16,"1,536",17.1,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,2001-2002
59,Mathieu Berson,fr FRA,MF,Nantes,21,1980,29,28,"2,475",27.5,3,0,3,0,0,11,0,0.11,0.00,0.11,0.11,0.11,Matches,2001-2002
60,Sékou Berthé,ml MLI,DF,Troyes,23,1977,4,3,228,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
61,Oliver Bierhoff,de GER,FW,Monaco,33,1968,18,13,"1,080",12.0,4,0,3,1,1,2,0,0.33,0.00,0.33,0.25,0.25,Matches,2001-2002
62,Yoann Bigné,fr FRA,MF,Rennes,23,1977,15,11,977,10.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
63,Serge Blanc,fr FRA,DF,Montpellier,28,1972,15,13,"1,141",12.7,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
64,Jocelyn Blanchard,fr FRA,MF,Lens,29,1972,34,34,"2,958",32.9,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches,2001-2002
65,Víctor Bonilla,co COL,FW,Nantes,30,1971,6,6,496,5.5,2,0,2,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches,2001-2002
66,Jérôme Bonnissel,fr FRA,"DF,FW",Bordeaux,28,1973,13,13,"1,155",12.8,0,1,0,0,0,1,1,0.00,0.08,0.08,0.00,0.08,Matches,2001-2002
67,David Bouard,fr FRA,MF,Lorient,24,1977,21,15,"1,325",14.7,2,0,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,2001-2002
68,Papa Bouba Diop,sn SEN,"DF,MF",Lens,23,1978,5,0,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
