club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Olympique Marseille,Alfonso,29,Centre-Forward,Barcelona,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Franck Jurietti,27,Left-Back,Monaco,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Wilfried Dalmat,19,Right Winger,FC Nantes,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Jean-Claude Darcheville,26,Centre-Forward,FC Lorient,€9.00m,in,Summer,9,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Marco Caneira,23,Centre-Back,Benfica,€1.50m,in,Summer,1.5,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Daniel Deves,18,Goalkeeper,Toulouse,?,in,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Sávio,28,Left Winger,Real Madrid,loan transfer,in,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Marc Planus,20,Centre-Back,G. Bordeaux B,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Anicet Adjamossi,18,Right-Back,Bordeaux U19,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Hervé Bugnet,20,Right Winger,FC Martigues,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Nicolas Sahnoun,21,Defensive Midfield,AC Ajaccio,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Christian,27,Centre-Forward,Palmeiras,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Mathieu Beda,20,Centre-Back,AS Nancy,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Pascal Feindouno,21,Right Winger,FC Lorient,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Teddy Richert,27,Goalkeeper,FC Sochaux,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
