,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
45,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,26,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20.0,2,2,1,0,0,0,0,0,0,0,0,Matches
46,Ashley Barnes\2691c772,eng ENG,FW,Burnley,30,1989,14.8,16,6,2,7,7,4,12,33.3,8,202,52,25.7,24,77,101,15,3,0,12,5,21,9,0,Matches
47,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,22,1997,21.6,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0,Matches
48,Kyle Bartley\18e96f64,eng ENG,DF,West Brom,29,1991,28.7,26,18,15,10,1,10,32,31.3,22,232,76,32.8,135,82,15,74,37,1,37,31,57,202,2,Matches
49,Chris Basham\1aa84968,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,76,46,48,22,6,37,70,52.9,33,383,115,30.0,201,137,45,49,15,5,34,45,121,124,1,Matches
50,Michy Batshuayi\2973d8ff,be BEL,FW,Crystal Palace,26,1993,8.1,3,3,1,2,0,2,9,22.2,7,109,21,19.3,8,54,47,10,1,0,9,2,5,5,1,Matches
51,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,24,1996,34.4,48,28,31,16,1,23,53,43.4,30,284,95,33.5,169,104,11,59,28,1,31,78,126,216,1,Matches
52,Donny van de Beek\50dc94ce,nl NED,MFFW,Manchester Utd,23,1997,5.8,12,9,3,6,3,3,13,23.1,10,105,32,30.5,21,59,25,11,1,0,10,7,19,9,0,Matches
53,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,25,1995,23.2,34,18,18,13,3,12,41,29.3,29,223,62,27.8,87,100,36,50,9,0,41,13,47,41,0,Matches
54,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,24,1995,15.5,31,21,10,15,6,8,28,28.6,20,287,73,25.4,81,142,64,15,0,0,15,13,44,10,0,Matches
55,Josh Benson\bf3aeb61,eng ENG,MF,Burnley,20,1999,2.9,8,5,5,1,2,4,8,50.0,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0,Matches
56,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,29,1990,20.2,13,9,1,5,7,0,8,0.0,8,240,57,23.8,16,129,95,17,6,1,11,5,18,37,0,Matches
57,Gaetano Berardi\5348aada,ch SUI,DF,Leeds United,31,1988,1.3,3,2,2,0,1,1,1,100.0,0,14,6,42.9,9,4,1,2,1,0,1,2,5,5,0,Matches
58,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,29,1990,15.1,19,14,6,9,4,10,23,43.5,13,166,48,28.9,48,72,46,19,2,0,17,17,36,14,0,Matches
59,Sander Berge\d0b6129f,no NOR,MF,Sheffield Utd,22,1998,12.4,21,16,9,8,4,5,17,29.4,12,217,63,29.0,70,115,32,20,2,0,18,3,24,19,1,Matches
60,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,22,1997,13.4,16,10,7,3,6,6,24,25.0,18,241,63,26.1,59,95,87,10,1,0,9,12,28,5,0,Matches
61,Bernard\ab4b3e35,br BRA,MFFW,Everton,27,1992,5.1,5,4,1,2,2,3,12,25.0,9,79,18,22.8,26,35,18,9,0,0,9,7,12,3,0,Matches
62,Bernardo\17370b95,br BRA,DFMF,Brighton,25,1995,2.3,8,5,6,1,1,4,6,66.7,2,34,13,38.2,15,9,10,6,0,0,6,0,8,3,0,Matches
63,Ryan Bertrand\01226327,eng ENG,DF,Southampton,30,1989,28.9,71,43,29,36,6,28,48,58.3,20,318,124,39.0,121,147,50,47,5,0,42,31,102,56,1,Matches
64,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,23,1996,34.6,114,74,59,47,8,26,71,36.6,45,540,187,34.6,229,256,55,56,8,0,48,60,174,67,0,Matches
65,Jayden Bogle\ae5019e6,eng ENG,DF,Sheffield Utd,20,2000,12.3,36,16,21,14,1,20,35,57.1,15,234,67,28.6,109,80,45,26,4,0,22,20,56,22,0,Matches
66,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,29,1991,20.9,41,26,33,7,1,14,30,46.7,16,160,55,34.4,109,45,6,27,13,0,14,23,64,104,0,Matches
67,Jarrod Bowen\79c84d1c,eng ENG,FWMF,West Ham,23,1996,28.5,23,14,11,8,4,5,31,16.1,26,365,97,26.6,90,141,134,39,1,0,38,22,45,5,0,Matches
68,Robbie Brady\96bb8cc2,ie IRL,MF,Burnley,28,1992,11.7,22,12,12,3,7,9,31,29.0,22,181,41,22.7,62,75,44,25,2,0,23,9,31,24,1,Matches
69,Rhian Brewster\30e81a88,eng ENG,FW,Sheffield Utd,20,2000,12.5,14,8,1,7,6,0,12,0.0,12,238,61,25.6,13,117,108,16,3,0,13,6,20,3,0,Matches
70,Nathan Broadhead\43309491,wls WAL,MF,Everton,22,1998,0.0,1,0,0,1,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,1,0,0,Matches
71,Josh Brownhill\47369df8,eng ENG,MF,Burnley,24,1995,31.3,51,28,11,32,8,10,44,22.7,34,490,125,25.5,103,261,126,59,12,1,47,53,104,56,0,Matches
72,Joe Bryan\af69e7f0,eng ENG,DFFW,Fulham,26,1993,7.4,19,12,7,7,5,9,18,50.0,9,97,33,34.0,36,37,24,21,3,0,18,13,32,19,0,Matches
73,Kean Bryan\c684d3c9,eng ENG,DF,Sheffield Utd,23,1996,11.2,24,15,13,10,1,9,15,60.0,6,150,44,29.3,81,58,11,26,11,0,15,28,52,70,3,Matches
74,Oliver Burke\f631c17f,sct SCO,FW,Sheffield Utd,23,1997,14.1,18,10,6,9,3,5,28,17.9,23,415,76,18.3,35,188,192,21,0,0,21,2,20,4,0,Matches
75,Dan Burn\b2d31e83,eng ENG,DF,Brighton,28,1992,22.9,47,22,31,13,3,21,54,38.9,33,310,103,33.2,146,114,50,39,7,1,32,37,84,95,0,Matches
76,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
77,David Button\e608ed4c,eng ENG,GK,West Brom,31,1989,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Oskar Buur\aa6f2f2c,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,0,0,0,1,0.0,1,5,0,0.0,3,0,2,0,0,0,0,0,0,0,0,Matches
79,Willy Caballero\a179d516,ar ARG,GK,Chelsea,38,1981,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Gary Cahill\7914b9fe,eng ENG,DF,Crystal Palace,34,1985,20.0,13,7,10,3,0,4,10,40.0,6,101,29,28.7,66,27,8,45,28,0,17,19,32,127,2,Matches
81,Tom Cairney\a8748947,sct SCO,MF,Fulham,29,1991,8.4,5,4,1,2,2,0,3,0.0,3,65,21,32.3,18,32,15,6,0,0,6,1,6,3,0,Matches
82,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,23,1997,31.9,17,12,0,7,10,2,11,18.2,9,347,97,28.0,23,150,174,31,8,0,23,5,22,31,0,Matches
83,João Cancelo\bd6351cd,pt POR,DF,Manchester City,26,1994,25.5,77,44,41,26,10,41,89,46.1,48,338,121,35.8,137,125,76,38,3,0,35,53,130,36,1,Matches
84,Ian Carlo Poveda\55b4f1d6,eng ENG,MFDF,Leeds United,20,2000,3.9,9,7,6,1,2,6,12,50.0,6,78,21,26.9,28,29,21,4,1,0,3,2,11,0,0,Matches
85,Andy Carroll\b581987a,eng ENG,FW,Newcastle Utd,31,1989,4.4,2,1,1,0,1,0,6,0.0,6,60,14,23.3,7,31,22,2,0,0,2,1,3,11,0,Matches
86,Scott Carson\3e1550ee,eng ENG,GK,Manchester City,34,1985,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Fabio Carvalho\966e28d0,pt POR,MFFW,Fulham,17,2002,2.8,8,5,3,4,1,4,8,50.0,4,109,24,22.0,13,48,48,6,0,0,6,4,12,0,0,Matches
88,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,22,1997,26.4,78,44,41,29,8,34,76,44.7,42,446,127,28.5,232,168,46,77,15,0,62,49,127,110,2,Matches
89,Kiko Casilla\58bc7d18,es ESP,GK,Leeds United,33,1986,3.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
90,Timothy Castagne\197640fd,be BEL,DF,Leicester City,24,1995,26.1,59,34,31,22,6,20,44,45.5,24,351,100,28.5,146,130,75,53,5,0,48,23,82,67,1,Matches
91,Jonny Castro\e28868f3,es ESP,DF,Wolves,26,1994,5.5,8,5,5,2,1,5,18,27.8,13,99,25,25.3,37,43,19,10,3,0,7,7,15,8,0,Matches
92,Ivan Cavaleiro\979b811d,pt POR,FWMF,Fulham,26,1993,27.5,28,21,13,10,5,4,22,18.2,18,445,131,29.4,82,183,180,38,1,0,37,18,46,22,1,Matches
93,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,33,1987,15.3,15,11,1,8,6,3,12,25.0,9,210,59,28.1,16,76,118,6,1,0,5,10,25,11,0,Matches
94,Dani Ceballos\c0617e2b,es ESP,MF,Arsenal,23,1996,17.9,40,33,19,12,9,13,49,26.5,36,281,75,26.7,121,100,60,29,7,1,22,24,64,21,0,Matches
95,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,25,1995,8.4,9,3,4,3,2,3,10,30.0,7,95,28,29.5,50,30,15,16,3,0,13,14,23,45,0,Matches
96,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,23,1996,25.4,46,29,19,20,7,16,37,43.2,21,323,102,31.6,133,131,59,65,3,0,62,29,75,66,0,Matches
97,Hamza Choudhury\7d2d3329,eng ENG,MF,Leicester City,22,1997,3.5,11,7,5,6,0,2,10,20.0,8,53,18,34.0,18,31,4,9,2,0,7,5,16,6,1,Matches
98,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,24,1996,15.2,20,12,14,4,2,5,11,45.5,6,103,38,36.9,56,38,9,26,15,0,11,26,46,80,1,Matches
