,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
75,Razak Boukari,tg TOG,"FW,MF",Lens,20,1987,19,10,904,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
76,Jean-Alain Boumsong,fr FRA,DF,Lyon,27,1979,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
78,Kemal Bourhani,km COM,FW,Lorient,25,1981,11,1,268,3.0,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,2007-2008
79,Grégory Bourillon,fr FRA,"DF,MF",Paris S-G,23,1984,22,20,"1,758",19.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,2007-2008
80,Marc Boutruche,fr FRA,DF,Lorient,30,1976,9,4,375,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
81,Gennaro Bracigliano,fr FRA,GK,Nancy,27,1980,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
82,Jérémie Bréchet,fr FRA,"DF,MF",Sochaux,27,1979,21,21,"1,890",21.0,2,0,2,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,2007-2008
83,Jimmy Briand,fr FRA,"FW,MF",Rennes,21,1985,37,36,"3,045",33.8,7,4,7,0,0,3,0,0.21,0.12,0.33,0.21,0.33,Matches,2007-2008
84,Jonathan Brison,fr FRA,"DF,MF",Nancy,24,1983,26,15,"1,461",16.2,2,2,2,0,0,4,1,0.12,0.12,0.25,0.12,0.25,Matches,2007-2008
85,Yohan Cabaye,fr FRA,MF,Lille,21,1986,36,34,"2,812",31.2,7,4,5,2,2,5,0,0.22,0.13,0.35,0.16,0.29,Matches,2007-2008
