,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
503,Adama Soumaoro,fr FRA,DF,Lille,25,1992,14,14,"1,192",13.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Matches,2017-2018
504,Boubakary Soumaré,fr FRA,MF,Lille,18,1999,14,3,511,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04,Matches,2017-2018
505,Arnaud Souquet,fr FRA,DF,Nice,25,1992,29,27,"2,415",26.8,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,2.0,2.2,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
506,Bassem Srarfi,tn TUN,"FW,MF",Nice,20,1997,26,10,870,9.7,3,0,3,0,0,1,0,0.31,0.00,0.31,0.31,0.31,2.8,2.8,0.7,3.5,0.29,0.07,0.36,0.29,0.36,Matches,2017-2018
507,Timo Stavitski,fi FIN,FW,Caen,18,1999,9,3,401,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
508,Mariusz Stępiński,pl POL,FW,Nantes,22,1995,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
509,Danijel Subašić,hr CRO,GK,Monaco,32,1984,34,34,"2,939",32.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
510,Neven Subotić,rs SRB,DF,Saint-Étienne,28,1988,16,16,"1,440",16.0,2,1,2,0,0,1,0,0.12,0.06,0.19,0.12,0.19,0.9,0.9,0.4,1.3,0.06,0.02,0.08,0.06,0.08,Matches,2017-2018
511,Gilles Sunu,tg TOG,"MF,FW",Angers,26,1991,20,5,655,7.3,1,0,1,0,0,4,0,0.14,0.00,0.14,0.14,0.14,1.2,1.2,0.5,1.8,0.17,0.07,0.25,0.17,0.25,Matches,2017-2018
512,Seydou Sy,sn SEN,GK,Monaco,21,1995,3,2,256,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
513,Issiaga Sylla,gn GUI,"DF,MF",Toulouse,23,1994,25,17,"1,602",17.8,1,3,1,0,0,5,0,0.06,0.17,0.22,0.06,0.22,0.4,0.4,2.2,2.6,0.02,0.13,0.15,0.02,0.15,Matches,2017-2018
