,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
489,Alexander Sørloth,no NOR,FW,Crystal Palace,21,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.13,0.15,0.28,0.13,0.28,Matches,2017-2018
490,Dušan Tadić,rs SRB,"MF,FW",Southampton,28,1988,36,34,"2,791",31.0,6,3,5,1,1,4,0,0.19,0.10,0.29,0.16,0.26,4.8,4.1,6.5,10.6,0.16,0.21,0.37,0.13,0.34,Matches,2017-2018
491,Matt Targett,eng ENG,DF,Southampton,21,1995,2,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.15,0.15,0.00,0.15,Matches,2017-2018
492,James Tarkowski,eng ENG,DF,Burnley,24,1992,31,31,"2,790",31.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.6,0.03,0.02,0.05,0.03,0.05,Matches,2017-2018
494,Charlie Taylor,eng ENG,DF,Burnley,23,1993,11,10,950,10.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches,2017-2018
495,James Tomkins,eng ENG,DF,Crystal Palace,28,1989,28,27,"2,387",26.5,3,0,3,0,0,8,0,0.11,0.00,0.11,0.11,0.11,2.0,2.0,0.2,2.2,0.07,0.01,0.08,0.07,0.08,Matches,2017-2018
496,Cenk Tosun,tr TUR,FW,Everton,26,1991,14,12,986,11.0,5,0,5,0,0,0,0,0.46,0.00,0.46,0.46,0.46,2.8,2.8,1.5,4.3,0.25,0.14,0.39,0.25,0.39,Matches,2017-2018
497,Yaya Touré,ci CIV,MF,Manchester City,34,1983,10,1,236,2.6,0,2,0,0,0,1,0,0.00,0.76,0.76,0.00,0.76,0.3,0.3,1.3,1.6,0.12,0.51,0.62,0.12,0.62,Matches,2017-2018
498,Andros Townsend,eng ENG,"FW,MF",Crystal Palace,26,1991,36,35,"3,120",34.7,2,7,2,0,0,3,0,0.06,0.20,0.26,0.06,0.26,3.3,3.3,6.8,10.2,0.10,0.20,0.29,0.10,0.29,Matches,2017-2018
499,Kieran Trippier,eng ENG,DF,Tottenham,26,1990,24,21,"1,914",21.3,0,5,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.3,0.3,3.5,3.8,0.01,0.16,0.18,0.01,0.18,Matches,2017-2018
500,Axel Tuanzebe,eng ENG,FW,Manchester Utd,19,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
501,Josh Tymon,eng ENG,DF,Stoke City,18,1999,3,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
