,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
73,Jacob Bruun Larsen,dk DEN,DF,Dortmund,18,1998,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
74,Onur Bulut,tr TUR,MF,Freiburg,23,1994,1,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.29,0.29,0.00,0.29,Matches,2017-2018
75,Guido Burgstaller,at AUT,FW,Schalke 04,28,1989,32,24,"2,324",25.8,11,4,11,0,0,8,0,0.43,0.15,0.58,0.43,0.58,8.7,8.7,5.1,13.8,0.34,0.20,0.53,0.34,0.53,Matches,2017-2018
76,Roman Bürki,ch SUI,GK,Dortmund,26,1990,33,33,"2,969",33.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
78,Dženis Burnić,de GER,"MF,DF",Stuttgart,19,1998,6,3,305,3.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.07,0.12,0.19,0.07,0.19,Matches,2017-2018
79,Jakub Błaszczykowski,pl POL,"FW,MF",Wolfsburg,31,1985,9,6,520,5.8,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.8,1.1,0.05,0.13,0.19,0.05,0.19,Matches,2017-2018
80,Caiuby,br BRA,"FW,MF",Augsburg,29,1988,33,32,"2,855",31.7,5,7,5,0,0,8,0,0.16,0.22,0.38,0.16,0.38,4.9,4.9,3.7,8.7,0.16,0.12,0.27,0.16,0.27,Matches,2017-2018
81,Luca Caldirola,it ITA,DF,Werder Bremen,26,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
82,Daniel Caligiuri,it ITA,"DF,MF",Schalke 04,29,1988,33,32,"2,917",32.4,6,10,3,3,3,4,0,0.19,0.31,0.49,0.09,0.40,4.6,2.4,4.7,7.0,0.14,0.14,0.29,0.07,0.22,Matches,2017-2018
83,Ignacio Camacho,es ESP,"MF,DF",Wolfsburg,27,1990,11,11,951,10.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.03,0.04,0.06,0.03,0.06,Matches,2017-2018
84,Koen Casteels,be BEL,GK,Wolfsburg,25,1992,34,34,"3,060",34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
85,Gonzalo Castro,de GER,MF,Dortmund,30,1987,19,16,"1,206",13.4,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,1.6,1.6,3.4,5.0,0.12,0.26,0.37,0.12,0.37,Matches,2017-2018
86,Marijan Ćavar,ba BIH,"FW,MF",Eint Frankfurt,19,1998,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,2017-2018
87,Timothy Chandler,us USA,"DF,MF",Eint Frankfurt,27,1990,24,22,"1,892",21.0,2,4,2,0,0,3,0,0.10,0.19,0.29,0.10,0.29,2.2,2.2,2.6,4.7,0.10,0.12,0.23,0.10,0.23,Matches,2017-2018
88,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,30,1987,28,24,"2,183",24.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.01,0.03,0.04,0.01,0.04,Matches,2017-2018
89,Christian Clemens,de GER,"MF,FW",Köln,25,1991,14,6,646,7.2,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,1.2,1.2,1.2,2.4,0.17,0.17,0.34,0.17,0.34,Matches,2017-2018
90,Coke,es ESP,MF,Schalke 04,30,1987,1,0,2,0.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
91,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,21,1996,21,10,"1,153",12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,2.7,2.7,2.9,5.6,0.21,0.23,0.43,0.21,0.43,Matches,2017-2018
92,Marvin Compper,de GER,DF,RB Leipzig,32,1985,2,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
93,Jhon Córdoba,co COL,FW,Köln,24,1993,18,9,957,10.6,0,2,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,4.3,4.3,0.7,5.0,0.40,0.07,0.47,0.40,0.47,Matches,2017-2018
