,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
52,Jérôme Boateng,de GER,DF,Hamburger SV,18,1988,27,26,"2,148",23.9,0,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches,2007-2008
53,Adam Bodzek,de GER,"DF,MF",MSV Duisburg,21,1985,7,6,496,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
54,Sebastian Boenisch,pl POL,DF,Werder Bremen,20,1987,9,6,541,6.0,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,2007-2008
55,Jörg Böhme,de GER,MF,Arminia,33,1974,22,17,"1,370",15.2,0,4,0,0,0,7,1,0.00,0.26,0.26,0.00,0.26,Matches,2007-2008
56,Arthur Boka,ci CIV,DF,Stuttgart,24,1983,17,11,"1,045",11.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
57,Markus Bollmann,de GER,DF,Arminia,26,1981,21,15,"1,442",16.0,2,0,2,0,0,7,0,0.12,0.00,0.12,0.12,0.12,Matches,2007-2008
58,Mark van Bommel,nl NED,MF,Bayern Munich,30,1977,27,26,"2,152",23.9,2,4,2,0,0,9,2,0.08,0.17,0.25,0.08,0.25,Matches,2007-2008
59,Philipp Bönig,de GER,DF,Bochum,27,1980,25,24,"2,144",23.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
60,Marcelo Bordon,br BRA,DF,Schalke 04,31,1976,31,31,"2,767",30.7,5,0,5,0,0,8,0,0.16,0.00,0.16,0.16,0.16,Matches,2007-2008
61,Breno Borges,br BRA,DF,Bayern Munich,17,1989,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
62,Tim Borowski,de GER,MF,Werder Bremen,27,1980,21,20,"1,649",18.3,2,2,2,0,0,7,0,0.11,0.11,0.22,0.11,0.22,Matches,2007-2008
63,Mišo Brečko,si SVN,"DF,MF",Hamburger SV,23,1984,14,5,609,6.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
64,Arnold Bruggink,nl NED,"FW,MF",Hannover 96,30,1977,26,18,"1,512",16.8,6,4,6,0,0,6,0,0.36,0.24,0.60,0.36,0.60,Matches,2007-2008
65,Markus Brzenska,de GER,DF,Dortmund,23,1984,12,11,992,11.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
66,Stefan Buck,de GER,DF,Karlsruher,26,1980,13,5,511,5.7,1,0,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,2007-2008
67,Delron Buckley,za RSA,"FW,MF",Dortmund,29,1977,31,11,"1,428",15.9,1,1,1,0,0,0,0,0.06,0.06,0.13,0.06,0.13,Matches,2007-2008
68,Kai Bülow,de GER,"DF,MF",Hansa Rostock,21,1986,29,27,"2,263",25.1,2,0,2,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,2007-2008
69,Dmitri Bulykin,ru RUS,FW,Leverkusen,27,1979,14,5,524,5.8,2,0,2,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches,2007-2008
70,Oleksiy Byelik,ua UKR,FW,Bochum,26,1981,4,1,96,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
71,Jakub Błaszczykowski,pl POL,MF,Dortmund,21,1985,24,22,"1,806",20.1,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,2007-2008
72,Cacau,de GER,FW,Stuttgart,26,1981,27,24,"2,057",22.9,9,5,9,0,0,6,0,0.39,0.22,0.61,0.39,0.61,Matches,2007-2008
73,Pablo Cáceres,uy URU,DF,MSV Duisburg,22,1985,18,16,"1,471",16.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
74,Jan-Ingwer Callsen-Bracker,de GER,DF,Leverkusen,22,1984,10,6,547,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
