,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
60,Jonatan Binotto,it ITA,MF,Bologna,23,1975,29,22,"1,742",19.4,3,6,3,0,0,2,1,0.15,0.31,0.46,0.15,0.46,Matches,1998-1999
61,Alessandro Birindelli,it ITA,DF,Juventus,23,1974,24,17,"1,548",17.2,1,1,1,0,0,2,1,0.06,0.06,0.12,0.06,0.12,Matches,1998-1999
62,Morten Bisgaard,dk DEN,MF,Udinese,24,1974,3,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
63,Pierpaolo Bisoli,it ITA,MF,Empoli,31,1966,25,18,"1,732",19.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
64,Jocelyn Blanchard,fr FRA,MF,Juventus,26,1972,12,2,292,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
65,Zvonimir Boban,hr CRO,MF,Milan,29,1968,27,21,"1,772",19.7,2,4,1,1,1,5,2,0.10,0.20,0.30,0.05,0.25,Matches,1998-1999
66,Alain Boghossian,fr FRA,"FW,MF",Parma,27,1970,24,23,"1,937",21.5,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,1998-1999
67,Alen Bokšić,hr CRO,FW,Lazio,28,1970,3,0,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
68,Dražen Bolić,rs SRB,DF,Salernitana,26,1971,31,25,"2,349",26.1,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,1998-1999
69,Claudio Bonomi,it ITA,MF,Empoli,25,1972,30,18,"1,722",19.1,1,0,0,1,1,1,0,0.05,0.00,0.05,0.00,0.00,Matches,1998-1999
70,Nicola Boselli,it ITA,DF,Bologna,26,1972,10,6,578,6.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
71,Roberto Breda,it ITA,MF,Salernitana,28,1969,26,25,"2,238",24.9,2,0,2,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,1998-1999
72,Pierpaolo Bresciani,it ITA,MF,Venezia,28,1970,5,2,175,1.9,0,,0,0,,1,0,0.00,,,0.00,,Matches,1998-1999
73,Mauro Bressan,it ITA,MF,Bari,27,1971,30,29,"2,395",26.6,0,2,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches,1998-1999
74,Emanuele Brioschi,it ITA,DF,Venezia,23,1975,24,23,"1,962",21.8,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
75,Pierluigi Brivio,it ITA,GK,Vicenza,29,1969,33,33,"2,953",32.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
76,Alex Brunner,it ITA,GK,Bologna,24,1973,3,2,218,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
78,Cristian Bucchi,it ITA,FW,Perugia,21,1977,27,12,"1,199",13.3,5,1,5,0,0,2,0,0.38,0.08,0.45,0.38,0.45,Matches,1998-1999
79,Gianluigi Buffon,it ITA,GK,Parma,20,1978,34,34,"3,060",34.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
80,Enrico Buonocore,it ITA,,Venezia,27,1971,6,0,218,2.4,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
81,Renato Buso,it ITA,MF,Piacenza,28,1969,29,21,"1,954",21.7,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,1998-1999
82,Cafú,br BRA,DF,Roma,28,1970,20,20,"1,737",19.3,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,1998-1999
83,Giordano Caini,it ITA,DF,Piacenza,29,1969,6,0,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
84,Alessandro Calori,it ITA,DF,Udinese,31,1966,31,31,"2,790",31.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
85,Zoumana Camara,fr FRA,DF,Empoli,19,1979,12,10,919,10.2,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
86,Grégory Campi, MCO,MF,Bari,22,1976,1,0,1,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
87,Sergio Campolo,it ITA,MF,Perugia,26,1972,15,10,903,10.0,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches,1998-1999
88,Vincent Candela,fr FRA,"DF,MF",Roma,24,1973,30,29,"2,583",28.7,1,1,1,0,0,6,1,0.03,0.03,0.07,0.03,0.07,Matches,1998-1999
89,Fabio Cannavaro,it ITA,DF,Parma,24,1973,30,30,"2,609",29.0,1,0,1,0,0,10,1,0.03,0.00,0.03,0.03,0.03,Matches,1998-1999
90,Massimiliano Cappellini,it ITA,FW,Empoli,27,1971,8,5,510,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
91,Massimiliano Cappioli,it ITA,MF,Bologna,30,1968,22,10,"1,086",12.1,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,1998-1999
92,Giuseppe Cardone,it ITA,DF,Vicenza,24,1974,14,12,"1,088",12.1,1,0,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,1998-1999
93,Juan Carlos Docabo,ar ARG,GK,Perugia,27,1970,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
94,Antônio Carlos,br BRA,DF,Roma,29,1969,28,26,"2,376",26.4,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
95,Daniele Carnasciali,it ITA,DF,Venezia,31,1966,16,16,"1,380",15.3,0,1,0,0,0,4,1,0.00,0.07,0.07,0.00,0.07,Matches,1998-1999
96,Marco Carparelli,it ITA,FW,Empoli,22,1976,22,17,"1,382",15.4,5,1,5,0,0,1,0,0.33,0.07,0.39,0.33,0.39,Matches,1998-1999
97,Eupremio Carruezzo,it ITA,FW,Cagliari,28,1969,4,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
98,Marcello Castellini,it ITA,DF,Sampdoria,25,1973,27,19,"1,826",20.3,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
99,Catê,br BRA,FW,Sampdoria,24,1973,15,1,291,3.2,1,0,1,0,0,0,1,0.31,0.00,0.31,0.31,0.31,Matches,1998-1999
