,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
439,Albert Sambi Lokonga,be BEL,MF,Arsenal,22-179,1999,17,12,"1,105",12.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.3,0.04,0.06,0.10,0.04,0.10,Matches
440,Davinson Sánchez,co COL,DF,Tottenham,25-311,1996,18,14,"1,331",14.8,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,2.0,2.0,0.1,2.2,0.14,0.01,0.15,0.14,0.15,Matches
442,Robert Sánchez,es ESP,GK,Brighton,24-152,1997,31,31,"2,789",31.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches
443,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22-025,2000,27,19,"1,765",19.6,3,3,3,0,0,0,0,0.15,0.15,0.31,0.15,0.31,3.3,3.3,4.2,7.5,0.17,0.21,0.38,0.17,0.38,Matches
444,Morgan Sanson,fr FRA,MF,Aston Villa,27-244,1994,10,3,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches
445,Samir Santos,br BRA,DF,Watford,27-135,1994,14,14,"1,259",14.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
446,Josh Sargent,us USA,"FW,MF",Norwich City,22-058,2000,25,18,"1,558",17.3,2,1,2,0,0,1,0,0.12,0.06,0.17,0.12,0.17,2.7,2.7,0.7,3.5,0.16,0.04,0.20,0.16,0.20,Matches
447,Jeremy Sarmiento,ec ECU,"FW,DF",Brighton,19-307,2002,3,1,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
448,Ismaila Sarr,sn SEN,"FW,MF",Watford,24-053,1998,19,18,"1,614",17.9,5,2,5,0,1,2,0,0.28,0.11,0.39,0.28,0.39,4.2,3.5,2.5,6.0,0.24,0.14,0.38,0.19,0.33,Matches
449,Malang Sarr,fr FRA,DF,Chelsea,23-086,1999,5,5,420,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.07,0.08,0.01,0.08,Matches
450,Dane Scarlett,eng ENG,MF,Tottenham,18-026,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
451,Fabian Schär,ch SUI,DF,Newcastle Utd,30-120,1991,22,22,"1,960",21.8,2,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,1.3,1.3,0.6,1.8,0.06,0.03,0.08,0.06,0.08,Matches
452,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,29-117,1992,25,16,"1,472",16.4,3,1,3,0,0,1,0,0.18,0.06,0.24,0.18,0.24,1.9,1.9,1.2,3.2,0.12,0.07,0.19,0.12,0.19,Matches
453,Kasper Schmeichel,dk DEN,GK,Leicester City,35-165,1986,30,30,"2,700",30.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
454,Ken Sema,se SWE,"MF,FW",Watford,28-201,1993,14,4,553,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.10,0.11,0.01,0.11,Matches
455,Nélson Semedo,pt POR,DF,Wolves,28-154,1993,23,23,"1,989",22.1,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.1,2.4,0.06,0.05,0.11,0.06,0.11,Matches
456,Ryan Sessegnon,eng ENG,"DF,MF",Tottenham,21-336,2000,9,7,537,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches
457,Jamie Shackleton,eng ENG,"DF,MF",Leeds United,22-193,1999,13,7,686,7.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches
458,Luke Shaw,eng ENG,DF,Manchester Utd,26-281,1995,20,19,"1,601",17.8,0,3,0,0,0,8,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,3.3,3.4,0.01,0.18,0.19,0.01,0.19,Matches
459,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30-051,1992,22,20,"1,803",20.0,2,1,2,0,0,7,1,0.10,0.05,0.15,0.10,0.15,0.8,0.8,0.8,1.6,0.04,0.04,0.08,0.04,0.08,Matches
460,Francisco Sierralta,cl CHI,DF,Watford,24-348,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
461,Bernardo Silva,pt POR,"MF,FW",Manchester City,27-252,1994,30,29,"2,509",27.9,7,3,7,0,0,6,0,0.25,0.11,0.36,0.25,0.36,6.4,6.4,4.5,10.9,0.23,0.16,0.39,0.23,0.39,Matches
462,Fábio Silva,pt POR,FW,Wolves,19-274,2002,19,4,444,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,0.1,2.2,0.41,0.02,0.44,0.41,0.44,Matches
463,Thiago Silva,br BRA,DF,Chelsea,37-209,1984,25,22,"2,065",22.9,3,0,3,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.2,0.8,0.03,0.01,0.04,0.03,0.04,Matches
464,Ellis Simms,eng ENG,FW,Everton,21-104,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
465,Moussa Sissoko,fr FRA,MF,Watford,32-246,1989,30,30,"2,680",29.8,2,1,2,0,0,5,0,0.07,0.03,0.10,0.07,0.10,2.9,2.9,2.4,5.3,0.10,0.08,0.18,0.10,0.18,Matches
466,Oliver Skipp,eng ENG,MF,Tottenham,21-215,2000,18,14,"1,350",15.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches
468,William Smallbone,ie IRL,"MF,FW",Southampton,22-057,2000,3,2,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.06,0.12,0.05,0.12,Matches
469,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,21-265,2000,27,18,"1,688",18.8,9,2,9,0,0,0,0,0.48,0.11,0.59,0.48,0.59,5.3,5.3,2.1,7.5,0.28,0.11,0.40,0.28,0.40,Matches
470,Cédric Soares,pt POR,DF,Arsenal,30-231,1991,14,12,"1,046",11.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,1.4,0.03,0.09,0.12,0.03,0.12,Matches
471,Tomáš Souček,cz CZE,MF,West Ham,27-051,1995,31,31,"2,778",30.9,5,1,5,0,0,2,0,0.16,0.03,0.19,0.16,0.19,4.7,4.4,1.4,5.8,0.15,0.05,0.20,0.14,0.19,Matches
472,Boubakary Soumaré,fr FRA,MF,Leicester City,23-051,1999,18,11,"1,036",11.5,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06,Matches
473,Çağlar Söyüncü,tr TUR,DF,Leicester City,25-331,1996,26,26,"2,317",25.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.1,1.5,0.05,0.01,0.06,0.05,0.06,Matches
474,Jason Steele,eng ENG,GK,Brighton,31-244,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
475,Jed Steer,eng ENG,GK,Aston Villa,29-208,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
476,Zack Steffen,us USA,GK,Manchester City,27-017,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
477,Dale Stephens,eng ENG,MF,Burnley,32-311,1989,2,1,123,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.04,0.06,0.02,0.06,Matches
478,Jack Stephens,eng ENG,DF,Southampton,28-082,1994,9,7,631,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04,Matches
479,Raheem Sterling,eng ENG,FW,Manchester City,27-132,1994,25,19,"1,733",19.3,10,3,8,2,3,1,0,0.52,0.16,0.68,0.42,0.57,10.9,8.4,3.8,12.2,0.57,0.20,0.76,0.44,0.63,Matches
480,Finley Stevens,wls WAL,DF,Brentford,19-009,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.25,0.25,0.00,0.25,Matches
481,John Stones,eng ENG,DF,Manchester City,27-326,1994,12,10,953,10.6,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.1,0.9,0.08,0.01,0.09,0.08,0.09,Matches
482,Pascal Struijk,nl NED,"DF,MF",Leeds United,22-251,1999,24,20,"1,785",19.8,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.06,0.01,0.06,0.06,0.06,Matches
483,Crysencio Summerville,nl NED,"MF,FW",Leeds United,20-171,2001,6,0,130,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.18,0.03,0.21,0.18,0.21,Matches
484,Jakob Sørensen,dk DEN,"DF,MF",Norwich City,24-047,1998,6,4,370,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches
485,Japhet Tanganga,eng ENG,DF,Tottenham,23-019,1999,11,10,735,8.2,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.05,0.05,0.09,0.05,0.09,Matches
486,Matt Targett,eng ENG,DF,Newcastle Utd,26-213,1995,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,1.3,0.03,0.10,0.13,0.03,0.13,Matches
487,Matt Targett,eng ENG,DF,Aston Villa,26-213,1995,17,17,"1,431",15.9,1,1,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,0.5,0.5,2.2,2.7,0.03,0.14,0.17,0.03,0.17,Matches
488,James Tarkowski,eng ENG,DF,Burnley,29-151,1992,29,29,"2,610",29.0,1,2,1,0,0,8,0,0.03,0.07,0.10,0.03,0.10,1.5,1.5,0.5,2.0,0.05,0.02,0.07,0.05,0.07,Matches
489,Nuno Tavares,pt POR,DF,Arsenal,22-083,2000,16,8,740,8.2,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,0.8,1.5,0.08,0.10,0.18,0.08,0.18,Matches
490,Charlie Taylor,eng ENG,DF,Burnley,28-213,1993,24,23,"2,101",23.3,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,2.6,2.9,0.01,0.11,0.12,0.01,0.12,Matches
491,Nathan Tella,eng ENG,"MF,FW",Southampton,22-288,1999,11,7,590,6.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.07,0.11,0.18,0.07,0.18,Matches
492,Alex Telles,br BRA,DF,Manchester Utd,29-125,1992,16,13,"1,210",13.4,0,3,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,0.4,0.4,1.4,1.8,0.03,0.10,0.13,0.03,0.13,Matches
494,Luke Thomas,eng ENG,DF,Leicester City,20-313,2001,20,19,"1,732",19.2,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.6,1.7,0.01,0.08,0.09,0.01,0.09,Matches
495,Dominic Thompson,eng ENG,DF,Brentford,21-267,2000,2,2,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
496,Youri Tielemans,be BEL,MF,Leicester City,24-347,1997,25,23,"2,081",23.1,6,2,4,2,2,2,0,0.26,0.09,0.35,0.17,0.26,4.4,2.9,3.4,6.3,0.19,0.15,0.34,0.13,0.27,Matches
497,Kieran Tierney,sct SCO,DF,Arsenal,24-318,1997,22,22,"1,915",21.3,1,3,1,0,0,0,0,0.05,0.14,0.19,0.05,0.19,0.7,0.7,1.9,2.6,0.03,0.09,0.12,0.03,0.12,Matches
498,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23-165,1998,16,16,"1,383",15.4,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.6,0.9,0.02,0.04,0.06,0.02,0.06,Matches
499,James Tomkins,eng ENG,DF,Crystal Palace,33-021,1989,8,6,547,6.1,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,0.6,0.6,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches
500,Ivan Toney,eng ENG,FW,Brentford,26-034,1996,28,27,"2,459",27.3,12,4,7,5,5,7,0,0.44,0.15,0.59,0.26,0.40,10.7,6.9,4.8,11.7,0.39,0.18,0.57,0.25,0.43,Matches
501,Ferrán Torres,es ESP,FW,Manchester City,22-049,2000,4,4,303,3.4,2,1,2,0,0,0,0,0.59,0.30,0.89,0.59,0.89,2.5,2.5,0.0,2.5,0.74,0.01,0.75,0.74,0.75,Matches
502,Cenk Tosun,tr TUR,FW,Everton,30-316,1991,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
503,Andros Townsend,eng ENG,MF,Everton,30-277,1991,21,17,"1,455",16.2,3,2,2,1,1,3,0,0.19,0.12,0.31,0.12,0.25,2.3,1.5,2.4,3.9,0.14,0.15,0.29,0.09,0.24,Matches
504,Adama Traoré,es ESP,FW,Wolves,26-084,1996,20,10,"1,067",11.9,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,2.4,2.4,1.7,4.1,0.20,0.15,0.35,0.20,0.35,Matches
505,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26-225,1995,7,1,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
506,Trézéguet,eg EGY,FW,Aston Villa,27-200,1994,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.51,0.00,0.51,0.51,0.51,Matches
507,Francisco Trincão,pt POR,"FW,MF",Wolves,22-111,1999,24,16,"1,290",14.3,1,1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,3.0,3.0,1.2,4.2,0.21,0.09,0.29,0.21,0.29,Matches
508,Kieran Trippier,eng ENG,DF,Newcastle Utd,31-212,1990,4,4,316,3.5,2,0,2,0,0,0,0,0.57,0.00,0.57,0.57,0.57,0.1,0.1,0.4,0.5,0.04,0.11,0.15,0.04,0.15,Matches
509,William Troost-Ekong,ng NGA,DF,Watford,28-230,1993,16,15,"1,377",15.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01,Matches
510,Leandro Trossard,be BEL,"FW,MF",Brighton,27-136,1994,30,28,"2,459",27.3,6,1,5,1,1,2,0,0.22,0.04,0.26,0.18,0.22,5.5,4.7,2.2,7.0,0.20,0.08,0.28,0.17,0.25,Matches
511,Kostas Tsimikas,gr GRE,DF,Liverpool,25-342,1996,10,7,670,7.4,0,2,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,0.5,0.5,1.7,2.2,0.07,0.23,0.30,0.07,0.30,Matches
512,Axel Tuanzebe,eng ENG,DF,Aston Villa,24-156,1997,9,6,508,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches
513,Ozan Tufan,tr TUR,MF,Watford,27-027,1995,7,4,334,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.8,0.14,0.07,0.20,0.14,0.20,Matches
514,Christos Tzolis,gr GRE,"FW,MF",Norwich City,20-079,2002,13,3,320,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.0,1.4,0.13,0.27,0.40,0.13,0.40,Matches
515,Yan Valery,fr FRA,DF,Southampton,23-056,1999,4,2,280,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
516,Raphaël Varane,fr FRA,DF,Manchester Utd,28-359,1993,18,16,"1,471",16.3,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,0.1,0.9,0.04,0.01,0.05,0.04,0.05,Matches
517,Jamie Vardy,eng ENG,FW,Leicester City,35-098,1987,18,16,"1,400",15.6,10,2,10,0,0,2,0,0.64,0.13,0.77,0.64,0.77,6.6,6.6,1.4,8.0,0.42,0.09,0.51,0.42,0.51,Matches
518,Joël Veltman,nl NED,DF,Brighton,30-094,1992,28,27,"2,334",25.9,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,1.0,1.7,0.03,0.04,0.07,0.03,0.07,Matches
520,Jannik Vestergaard,dk DEN,DF,Leicester City,29-259,1992,10,6,567,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches
521,Nikola Vlašić,hr CRO,"FW,MF",West Ham,24-197,1997,18,6,545,6.1,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,1.0,1.0,0.4,1.4,0.16,0.07,0.23,0.16,0.23,Matches
522,Matěj Vydra,cz CZE,FW,Burnley,29-353,1992,19,3,507,5.6,1,2,1,0,0,0,0,0.18,0.36,0.53,0.18,0.53,2.1,2.1,0.5,2.6,0.38,0.09,0.47,0.38,0.47,Matches
523,Theo Walcott,eng ENG,"MF,FW",Southampton,33-034,1989,9,5,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.17,0.01,0.18,0.17,0.18,Matches
524,Kyle Walker,eng ENG,DF,Manchester City,31-326,1990,20,20,"1,755",19.5,0,2,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,1.2,1.4,0.01,0.06,0.07,0.01,0.07,Matches
525,Kyle Walker-Peters,eng ENG,DF,Southampton,25-006,1997,26,23,"2,101",23.3,1,2,1,0,0,5,0,0.04,0.09,0.13,0.04,0.13,0.7,0.7,2.8,3.5,0.03,0.12,0.15,0.03,0.15,Matches
526,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24-144,1997,19,19,"1,703",18.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches
527,Joel Ward,eng ENG,DF,Crystal Palace,32-172,1989,24,23,"2,127",23.6,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.01,0.02,0.03,0.01,0.03,Matches
528,James Ward-Prowse,eng ENG,MF,Southampton,27-169,1994,30,30,"2,675",29.7,7,4,4,3,3,3,1,0.24,0.13,0.37,0.13,0.27,3.9,1.6,5.5,7.1,0.13,0.19,0.32,0.05,0.24,Matches
529,Ollie Watkins,eng ENG,FW,Aston Villa,26-110,1995,28,26,"2,345",26.1,8,1,7,1,1,6,0,0.31,0.04,0.35,0.27,0.31,9.9,9.1,2.2,11.3,0.38,0.08,0.46,0.35,0.43,Matches
530,Adam Webster,eng ENG,DF,Brighton,27-105,1995,16,14,"1,173",13.0,2,0,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,1.0,1.0,0.1,1.1,0.08,0.00,0.08,0.08,0.08,Matches
531,Wout Weghorst,nl NED,FW,Burnley,29-255,1992,13,13,"1,056",11.7,2,2,2,0,0,3,0,0.17,0.17,0.34,0.17,0.34,1.9,1.9,0.6,2.5,0.16,0.05,0.22,0.16,0.22,Matches
532,Danny Welbeck,eng ENG,"FW,MF",Brighton,31-144,1990,19,9,952,10.6,3,0,3,0,0,0,0,0.28,0.00,0.28,0.28,0.28,2.6,2.6,0.3,2.9,0.25,0.03,0.27,0.25,0.27,Matches
533,Timo Werner,de GER,"FW,MF",Chelsea,26-044,1996,16,10,891,9.9,3,1,3,0,0,1,0,0.30,0.10,0.40,0.30,0.40,6.2,6.2,0.3,6.5,0.63,0.03,0.66,0.63,0.66,Matches
534,Ashley Westwood,eng ENG,MF,Burnley,32-018,1990,27,26,"2,286",25.4,0,3,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,3.6,4.4,0.03,0.14,0.17,0.03,0.17,Matches
535,Ben White,eng ENG,DF,Arsenal,24-193,1997,29,29,"2,610",29.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.5,0.03,0.02,0.05,0.03,0.05,Matches
536,Brandon Williams,eng ENG,DF,Norwich City,21-228,2000,24,21,"1,940",21.6,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.2,1.3,0.00,0.06,0.06,0.00,0.06,Matches
537,Neco Williams,wls WAL,DF,Liverpool,21-006,2001,1,0,8,0.1,0,1,0,0,0,0,0,0.00,11.25,11.25,0.00,11.25,0.0,0.0,0.6,0.6,0.00,6.50,6.50,0.00,6.50,Matches
538,Joe Willock,eng ENG,MF,Newcastle Utd,22-242,1999,26,22,"1,868",20.8,2,0,2,0,0,0,0,0.10,0.00,0.10,0.10,0.10,3.3,3.3,1.0,4.4,0.16,0.05,0.21,0.16,0.21,Matches
539,Callum Wilson,eng ENG,FW,Newcastle Utd,30-051,1992,15,14,"1,184",13.2,6,0,5,1,1,4,0,0.46,0.00,0.46,0.38,0.38,4.4,3.6,0.4,4.1,0.33,0.03,0.37,0.28,0.31,Matches
540,Harry Winks,eng ENG,MF,Tottenham,26-076,1996,16,9,879,9.8,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,1.5,1.6,0.01,0.15,0.17,0.01,0.17,Matches
541,Yoane Wissa,cd COD,"FW,MF",Brentford,25-228,1996,25,9,"1,025",11.4,5,0,5,0,0,0,0,0.44,0.00,0.44,0.44,0.44,2.2,2.2,0.5,2.7,0.19,0.04,0.24,0.19,0.24,Matches
542,Chris Wood,nz NZL,FW,Newcastle Utd,30-133,1991,13,13,"1,127",12.5,2,0,1,1,1,0,0,0.16,0.00,0.16,0.08,0.08,2.7,1.9,0.9,2.9,0.22,0.08,0.29,0.15,0.23,Matches
543,Chris Wood,nz NZL,FW,Burnley,30-133,1991,17,17,"1,367",15.2,3,0,3,0,0,1,0,0.20,0.00,0.20,0.20,0.20,4.5,4.5,0.2,4.7,0.30,0.02,0.31,0.30,0.31,Matches
544,Freddie Woodman,eng ENG,GK,Newcastle Utd,25-046,1997,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
546,Granit Xhaka,ch SUI,"MF,DF",Arsenal,29-204,1992,20,20,"1,725",19.2,0,2,0,0,0,7,1,0.00,0.10,0.10,0.00,0.10,1.1,1.1,1.7,2.8,0.06,0.09,0.15,0.06,0.15,Matches
547,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,32-178,1989,14,0,178,2.0,1,0,1,0,0,1,0,0.51,0.00,0.51,0.51,0.51,0.5,0.5,0.0,0.6,0.26,0.02,0.29,0.26,0.29,Matches
548,Ashley Young,eng ENG,"DF,FW",Aston Villa,36-284,1985,21,9,"1,140",12.7,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.4,0.4,0.6,1.0,0.03,0.05,0.08,0.03,0.08,Matches
549,Wilfried Zaha,ci CIV,FW,Crystal Palace,29-160,1992,26,25,"2,201",24.5,11,1,7,4,6,5,1,0.45,0.04,0.49,0.29,0.33,7.6,3.0,4.2,7.2,0.31,0.17,0.49,0.12,0.30,Matches
550,Christoph Zimmermann,de GER,DF,Norwich City,29-097,1993,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.08,0.00,0.08,0.08,0.08,Matches
551,Oleksandr Zinchenko,ua UKR,DF,Manchester City,25-125,1996,8,6,597,6.6,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.9,1.1,0.02,0.14,0.16,0.02,0.16,Matches
552,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29-031,1993,17,12,"1,078",12.0,4,2,4,0,0,3,0,0.33,0.17,0.50,0.33,0.50,3.1,3.1,3.0,6.0,0.26,0.25,0.50,0.26,0.50,Matches
553,Kurt Zouma,fr FRA,DF,West Ham,27-174,1994,20,20,"1,718",19.1,1,0,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.0,0.8,0.04,0.00,0.04,0.04,0.04,Matches
554,Martin Ødegaard,no NOR,MF,Arsenal,23-123,1998,29,25,"2,156",24.0,6,3,6,0,0,3,0,0.25,0.13,0.38,0.25,0.38,3.9,3.9,5.0,8.9,0.16,0.21,0.37,0.16,0.37,Matches
