,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
263,Max Kilman,eng ENG,DF,Wolves,24-331,1997,30,30,"2,687",29.9,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,1.0,1.0,0.0,1.0,0.03,0.00,0.03,0.03,0.03,Matches
264,Joshua King,no NOR,FW,Watford,30-094,1992,29,24,"1,997",22.2,5,3,4,1,1,4,0,0.23,0.14,0.36,0.18,0.32,8.0,7.2,3.1,10.4,0.36,0.14,0.50,0.33,0.47,Matches
265,Kristoffer Klaesson,no NOR,GK,Leeds United,21-143,2000,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
266,Mateusz Klich,pl POL,MF,Leeds United,31-310,1990,27,22,"1,773",19.7,1,2,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,2.5,2.5,2.0,4.5,0.13,0.10,0.23,0.13,0.23,Matches
267,Robin Koch,de GER,"MF,DF",Leeds United,25-276,1996,14,12,"1,102",12.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,1.0,0.04,0.04,0.08,0.04,0.08,Matches
268,Sead Kolašinac,ba BIH,DF,Arsenal,28-303,1993,2,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
269,Ibrahima Konaté,fr FRA,DF,Liverpool,22-329,1999,8,8,720,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches
270,Ezri Konsa,eng ENG,DF,Aston Villa,24-178,1997,25,25,"2,158",24.0,2,0,2,0,0,6,2,0.08,0.00,0.08,0.08,0.08,1.5,1.5,0.3,1.7,0.06,0.01,0.07,0.06,0.07,Matches
271,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,32-119,1989,24,21,"1,801",20.0,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.7,1.2,0.03,0.03,0.06,0.03,0.06,Matches
272,Mateo Kovačić,hr CRO,MF,Chelsea,27-348,1994,22,14,"1,394",15.5,2,5,2,0,0,4,0,0.13,0.32,0.45,0.13,0.45,1.3,1.3,3.7,5.0,0.09,0.24,0.32,0.09,0.32,Matches
273,Emil Krafth,se SWE,DF,Newcastle Utd,27-260,1994,15,13,"1,213",13.5,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.6,0.8,0.02,0.04,0.06,0.02,0.06,Matches
274,Alex Král,cz CZE,MF,West Ham,23-335,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
275,Tim Krul,nl NED,GK,Norwich City,34-016,1988,25,25,"2,250",25.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches
276,Juraj Kucka,sk SVK,MF,Watford,35-052,1987,25,21,"1,830",20.3,1,1,1,0,0,4,1,0.05,0.05,0.10,0.05,0.10,2.5,2.5,0.9,3.4,0.12,0.05,0.17,0.12,0.17,Matches
277,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,21-359,2000,12,10,901,10.0,3,6,3,0,0,2,0,0.30,0.60,0.90,0.30,0.90,2.4,2.4,3.1,5.5,0.24,0.31,0.55,0.24,0.55,Matches
278,Alexandre Lacazette,fr FRA,"FW,MF",Arsenal,30-326,1991,25,20,"1,709",19.0,4,7,2,2,3,0,0,0.21,0.37,0.58,0.11,0.47,7.8,5.6,1.9,7.5,0.41,0.10,0.52,0.29,0.40,Matches
279,Adam Lallana,eng ENG,MF,Brighton,33-344,1988,23,18,"1,544",17.2,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches
280,Tariq Lamptey,eng ENG,"DF,FW",Brighton,21-201,2000,25,15,"1,462",16.2,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,2.0,2.7,0.04,0.12,0.17,0.04,0.17,Matches
281,Manuel Lanzini,ar ARG,MF,West Ham,29-063,1993,25,15,"1,457",16.2,4,3,2,2,2,2,0,0.25,0.19,0.43,0.12,0.31,2.5,1.0,2.2,3.2,0.16,0.14,0.29,0.06,0.20,Matches
