,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
278,Augustus Kargbo,sl SLE,FW,Crotone,20,1999,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
279,Rick Karsdorp,nl NED,DF,Roma,25,1995,34,28,"2,544",28.3,1,6,1,0,0,2,0,0.04,0.21,0.25,0.04,0.25,0.9,0.9,5.1,6.0,0.03,0.18,0.21,0.03,0.21,Matches,2020-2021
280,Franck Kessié,ci CIV,MF,Milan,23,1996,37,36,"3,226",35.8,13,4,2,11,13,8,0,0.36,0.11,0.47,0.06,0.17,13.6,3.7,2.8,6.4,0.38,0.08,0.45,0.10,0.18,Matches,2020-2021
281,Omar Khailoti,it ITA,DF,Bologna,18,2001,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
282,Simon Kjær,dk DEN,DF,Milan,31,1989,28,28,"2,393",26.6,0,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,1.3,1.3,1.0,2.4,0.05,0.04,0.09,0.05,0.09,Matches,2020-2021
283,Ragnar Klavan,ee EST,DF,Cagliari,34,1985,15,9,770,8.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches,2020-2021
284,Justin Kluivert,nl NED,"FW,MF",Roma,21,1999,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches,2020-2021
286,Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,29,1991,4,0,94,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
287,Aleksandar Kolarov,rs SRB,DF,Inter,34,1985,7,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.1,0.1,0.9,1.1,0.03,0.22,0.25,0.03,0.25,Matches,2020-2021
288,Márk Kosznovszky,hu HUN,MF,Parma,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.34,0.00,0.34,0.34,0.34,Matches,2020-2021
289,Christian Kouamé,ci CIV,FW,Fiorentina,22,1997,33,9,995,11.1,1,1,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,3.5,3.5,1.2,4.7,0.32,0.11,0.43,0.32,0.43,Matches,2020-2021
290,Kalidou Koulibaly,sn SEN,DF,Napoli,29,1991,26,25,"2,209",24.5,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,1.0,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
291,Viktor Kovalenko,ua UKR,FW,Atalanta,24,1996,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
292,Rade Krunić,ba BIH,"MF,FW",Milan,26,1993,25,5,723,8.0,1,2,1,0,0,3,0,0.12,0.25,0.37,0.12,0.37,0.7,0.7,1.1,1.8,0.09,0.14,0.23,0.09,0.23,Matches,2020-2021
293,Juraj Kucka,sk SVK,"MF,FW",Parma,33,1987,28,28,"2,334",25.9,7,2,3,4,4,8,0,0.27,0.08,0.35,0.12,0.19,6.8,3.8,1.8,5.6,0.26,0.07,0.33,0.15,0.22,Matches,2020-2021
294,Dejan Kulusevski,se SWE,"MF,FW",Juventus,20,2000,35,19,"1,923",21.4,4,3,4,0,0,7,0,0.19,0.14,0.33,0.19,0.33,2.9,2.9,6.4,9.4,0.14,0.30,0.44,0.14,0.44,Matches,2020-2021
295,Marash Kumbulla,al ALB,DF,Roma,20,2000,21,14,"1,363",15.1,1,0,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09,Matches,2020-2021
296,Jasmin Kurtić,si SVN,MF,Parma,31,1989,34,31,"2,739",30.4,4,0,4,0,0,5,0,0.13,0.00,0.13,0.13,0.13,3.7,3.7,2.0,5.7,0.12,0.07,0.19,0.12,0.19,Matches,2020-2021
297,Giorgos Kyriakopoulos,gr GRE,DF,Sassuolo,24,1996,23,16,"1,456",16.2,1,0,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,1.4,1.4,1.2,2.6,0.09,0.07,0.16,0.09,0.16,Matches,2020-2021
298,Antonino La Gumina,it ITA,FW,Sampdoria,24,1996,9,4,341,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.13,0.00,0.13,0.13,0.13,Matches,2020-2021
