,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
466,Cédric Soares,pt POR,DF,Arsenal,28,1991,10,8,746,8.3,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.9,1.1,0.03,0.11,0.13,0.03,0.13,Matches,2020-2021
468,Tomáš Souček,cz CZE,MF,West Ham,25,1995,38,38,"3,419",38.0,10,1,10,0,0,7,1,0.26,0.03,0.29,0.26,0.29,9.2,9.2,1.5,10.7,0.24,0.04,0.28,0.24,0.28,Matches,2020-2021
469,Çağlar Söyüncü,tr TUR,DF,Leicester City,24,1996,23,19,"1,819",20.2,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
470,Zack Steffen,us USA,GK,Manchester City,25,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
471,Dale Stephens,eng ENG,MF,Burnley,31,1989,7,3,261,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches,2020-2021
472,Jack Stephens,eng ENG,DF,Southampton,26,1994,18,17,"1,537",17.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.5,1.3,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021
473,Raheem Sterling,eng ENG,FW,Manchester City,25,1994,31,28,"2,536",28.2,10,7,10,0,1,4,0,0.35,0.25,0.60,0.35,0.60,12.2,11.4,4.8,16.3,0.43,0.17,0.60,0.41,0.58,Matches,2020-2021
474,Enda Stevens,ie IRL,DF,Sheffield Utd,30,1990,30,30,"2,700",30.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,1.1,1.1,1.6,2.7,0.04,0.05,0.09,0.04,0.09,Matches,2020-2021
475,John Stones,eng ENG,DF,Manchester City,26,1994,22,22,"1,933",21.5,4,0,4,0,0,0,1,0.19,0.00,0.19,0.19,0.19,2.2,2.2,0.1,2.3,0.10,0.00,0.11,0.10,0.11,Matches,2020-2021
476,Pascal Struijk,nl NED,"DF,MF",Leeds United,20,1999,27,22,"2,075",23.1,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,2.4,2.4,0.2,2.6,0.10,0.01,0.11,0.10,0.11,Matches,2020-2021
