,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
50,Eyal Berkovic,il ISR,MF,West Ham,25,1972,35,34,"2,810",31.2,7,10,7,0,0,2,0,0.22,0.32,0.54,0.22,0.54,Matches,1997-1998
52,Nicola Berti,it ITA,MF,Tottenham,30,1967,17,17,"1,418",15.8,3,3,3,0,0,5,0,0.19,0.19,0.38,0.19,0.38,Matches,1997-1998
53,Slaven Bilić,hr CRO,DF,Everton,28,1968,24,22,"1,937",21.5,0,1,0,0,0,7,3,0.00,0.05,0.05,0.00,0.05,Matches,1997-1998
54,Patrizio Billio,it ITA,MF,Crystal Palace,23,1974,3,1,93,1.0,0,,0,0,,1,0,0.00,,,0.00,,Matches,1997-1998
55,Ian Bishop,eng ENG,MF,West Ham,32,1965,3,3,270,3.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
56,Dean Blackwell,eng ENG,DF,Wimbledon,27,1969,35,35,"3,066",34.1,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,1997-1998
57,Nathan Blake,wls WAL,FW,Bolton,25,1972,35,35,"3,085",34.3,12,5,12,0,0,6,1,0.35,0.15,0.50,0.35,0.50,Matches,1997-1998
58,Patrick Blondeau,fr FRA,DF,Sheffield Weds,29,1968,6,5,488,5.4,0,1,0,0,0,1,1,0.00,0.18,0.18,0.00,0.18,Matches,1997-1998
59,Luís Boa Morte,pt POR,"FW,MF",Arsenal,19,1977,15,4,430,4.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
60,George Boateng,nl NED,MF,Coventry City,21,1975,14,14,"1,140",12.7,1,2,1,0,0,4,1,0.08,0.16,0.24,0.08,0.24,Matches,1997-1998
61,Lars Bohinen,no NOR,MF,Derby County,27,1969,24,14,"1,502",16.7,2,3,2,0,0,1,0,0.12,0.18,0.30,0.12,0.30,Matches,1997-1998
62,Willie Boland,ie IRL,MF,Coventry City,21,1975,19,8,927,10.3,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches,1997-1998
63,Ivano Bonetti,it ITA,MF,Crystal Palace,32,1964,2,0,51,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
64,Andy Booth,eng ENG,FW,Sheffield Weds,23,1973,23,21,"1,809",20.1,7,2,7,0,0,1,1,0.35,0.10,0.45,0.35,0.45,Matches,1997-1998
65,Jovo Bosančić,rs SRB,MF,Barnsley,26,1970,17,13,"1,192",13.2,2,0,1,1,2,7,1,0.15,0.00,0.15,0.08,0.08,Matches,1997-1998
66,Mark Bosnich,au AUS,GK,Aston Villa,25,1972,30,30,"2,700",30.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
67,Steve Bould,eng ENG,DF,Arsenal,34,1962,24,21,"1,973",21.9,0,2,0,0,0,10,0,0.00,0.09,0.09,0.00,0.09,Matches,1997-1998
68,Jason Bowen,wls WAL,FW,Southampton,24,1972,3,1,131,1.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
69,Lee Bowyer,eng ENG,MF,Leeds United,20,1977,25,21,"1,862",20.7,3,5,3,0,0,5,0,0.15,0.24,0.39,0.15,0.39,Matches,1997-1998
70,Danny Boxall,ie IRL,DF,Crystal Palace,19,1977,1,0,45,0.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
71,Garry Brady,sct SCO,MF,Tottenham,20,1976,9,0,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
72,Keith Branagan,ie IRL,GK,Bolton,31,1966,34,34,"3,060",34.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
73,Michael Branch,eng ENG,FW,Everton,18,1978,6,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
74,Tim Breacker,eng ENG,DF,West Ham,32,1965,19,18,"1,450",16.1,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,1997-1998
75,Gary Breen,ie IRL,DF,Coventry City,23,1973,30,30,"2,646",29.4,1,1,1,0,0,1,1,0.03,0.03,0.07,0.03,0.07,Matches,1997-1998
76,Lee Briscoe,eng ENG,"DF,MF",Sheffield Weds,21,1975,7,3,314,3.5,0,2,0,0,0,2,0,0.00,0.57,0.57,0.00,0.57,Matches,1997-1998
78,Tomas Brolin,se SWE,"FW,MF",Crystal Palace,27,1969,13,13,"1,104",12.3,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,1997-1998
79,Marlon Broomes,eng ENG,DF,Blackburn,19,1977,4,2,231,2.6,0,,0,0,,1,0,0.00,,,0.00,,Matches,1997-1998
80,Wes Brown,eng ENG,DF,Manchester Utd,17,1979,2,1,121,1.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
81,Martin Bullock,eng ENG,MF,Barnsley,22,1975,33,23,"2,195",24.4,0,8,0,0,,4,0,0.00,0.33,0.33,0.00,0.33,Matches,1997-1998
82,David Burrows,eng ENG,DF,Coventry City,28,1968,32,32,"2,880",32.0,0,2,0,0,0,7,0,0.00,0.06,0.06,0.00,0.06,Matches,1997-1998
83,Deon Burton,jm JAM,FW,Derby County,20,1976,29,12,"1,254",13.9,3,4,3,0,0,0,0,0.22,0.29,0.50,0.22,0.50,Matches,1997-1998
84,Sagi Burton,kn SKN,DF,Crystal Palace,19,1977,2,1,121,1.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
85,Nicky Butt,eng ENG,"DF,MF",Manchester Utd,22,1975,33,31,"2,710",30.1,3,3,2,1,1,7,0,0.10,0.10,0.20,0.07,0.17,Matches,1997-1998
86,Darren Byfield,jm JAM,FW,Aston Villa,20,1976,7,6,444,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
87,Danny Cadamarteri,eng ENG,FW,Everton,17,1979,26,15,"1,440",16.0,4,1,4,0,0,4,0,0.25,0.06,0.31,0.25,0.31,Matches,1997-1998
88,Colin Calderwood,sct SCO,DF,Tottenham,32,1965,26,21,"1,980",22.0,4,0,4,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,1997-1998
89,Sol Campbell,eng ENG,"DF,FW",Tottenham,22,1974,34,34,"2,938",32.6,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,1997-1998
90,Stuart Campbell,sct SCO,MF,Leicester City,19,1977,11,6,532,5.9,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches,1997-1998
91,Matt Carbon,eng ENG,DF,Derby County,22,1975,4,3,210,2.3,0,,0,0,,1,0,0.00,,,0.00,,Matches,1997-1998
92,Benito Carbone,it ITA,FW,Sheffield Weds,25,1971,33,28,"2,442",27.1,9,6,6,3,3,8,1,0.33,0.22,0.55,0.22,0.44,Matches,1997-1998
93,Franz Carr,eng ENG,"FW,MF",Bolton,30,1966,5,0,131,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
94,Stephen Carr,ie IRL,DF,Tottenham,20,1976,38,37,"3,274",36.4,0,2,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,1997-1998
95,Jamie Carragher,eng ENG,"DF,MF",Liverpool,19,1978,20,17,"1,499",16.7,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,1997-1998
96,Lee Carsley,ie IRL,MF,Derby County,23,1974,34,34,"3,060",34.0,1,0,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,Matches,1997-1998
97,Stewart Castledine,eng ENG,MF,Wimbledon,24,1973,6,3,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
98,Gary Charles,eng ENG,DF,Aston Villa,27,1970,18,14,"1,258",14.0,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches,1997-1998
99,Simon Charlton,eng ENG,DF,Southampton,25,1971,3,2,119,1.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
100,Laurent Charvet,fr FRA,DF,Chelsea,24,1973,11,7,715,7.9,2,1,2,0,0,3,0,0.25,0.13,0.38,0.25,0.38,Matches,1997-1998
101,Steve Claridge,eng ENG,FW,Leicester City,31,1966,17,10,886,9.8,0,2,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,1997-1998
102,Andy Clarke,eng ENG,FW,Wimbledon,30,1967,14,1,452,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
104,Matt Clarke,eng ENG,GK,Sheffield Weds,23,1973,3,2,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
105,Steve Clarke,sct SCO,DF,Chelsea,33,1963,26,22,"2,010",22.3,1,3,1,0,0,2,0,0.04,0.13,0.18,0.04,0.18,Matches,1997-1998
106,Michael Clegg,eng ENG,DF,Manchester Utd,20,1977,3,1,121,1.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
107,Stephen Clemence,eng ENG,MF,Tottenham,19,1978,17,12,"1,211",13.5,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,1997-1998
108,Nigel Clough,eng ENG,"FW,MF",Sheffield Weds,31,1966,1,1,45,0.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
109,Andy Cole,eng ENG,FW,Manchester Utd,25,1971,33,31,"2,751",30.6,15,7,15,0,0,5,0,0.49,0.23,0.72,0.49,0.72,Matches,1997-1998
110,Wayne Collins,eng ENG,MF,Sheffield Weds,28,1969,19,8,"1,031",11.5,5,1,5,0,0,2,0,0.44,0.09,0.52,0.44,0.52,Matches,1997-1998
111,Stan Collymore,eng ENG,FW,Aston Villa,26,1971,25,23,"2,098",23.3,6,4,6,0,0,3,1,0.26,0.17,0.43,0.26,0.43,Matches,1997-1998
112,Carl Cort,gy GUY,FW,Wimbledon,19,1977,22,16,"1,484",16.5,4,3,4,0,0,0,0,0.24,0.18,0.42,0.24,0.42,Matches,1997-1998
113,Tony Cottee,eng ENG,FW,Leicester City,32,1965,19,7,714,7.9,4,1,4,0,0,0,0,0.50,0.13,0.63,0.50,0.63,Matches,1997-1998
114,Neil Cox,eng ENG,DF,Bolton,25,1971,21,20,"1,776",19.7,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,1997-1998
115,Nick Crittenden,eng ENG,MF,Chelsea,18,1978,2,0,10,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1997-1998
116,Gary Croft,eng ENG,DF,Blackburn,23,1974,23,19,"1,734",19.3,1,2,1,0,0,1,0,0.05,0.10,0.16,0.05,0.16,Matches,1997-1998
117,Jordi Cruyff,nl NED,"FW,MF",Manchester Utd,23,1974,5,3,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
118,Kenny Cunningham,ie IRL,DF,Wimbledon,26,1971,32,32,"2,880",32.0,0,3,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,1997-1998
119,Saša Ćurčić,rs SRB,MF,Crystal Palace,25,1972,15,12,755,8.4,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,Matches,1997-1998
120,John Curtis,eng ENG,DF,Manchester Utd,18,1978,8,5,314,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1997-1998
121,Nikos Dabizas,gr GRE,DF,Newcastle Utd,23,1973,11,10,961,10.7,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,1997-1998
122,Jon Dahl Tomasson,dk DEN,"FW,MF",Newcastle Utd,20,1976,23,17,"1,508",16.8,3,1,3,0,0,1,0,0.18,0.06,0.24,0.18,0.24,Matches,1997-1998
123,Martin Dahlin,se SWE,FW,Blackburn,29,1968,21,11,"1,103",12.3,4,2,4,0,0,2,0,0.33,0.16,0.49,0.33,0.49,Matches,1997-1998
