,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
66,Grégory Béranger,fr FRA,DF,Espanyol,26,1981,18,16,"1,471",16.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
67,Jesús Berrocal,es ESP,FW,Racing Sant,20,1988,3,0,65,0.7,1,0,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,Matches,2008-2009
68,Beto,pt POR,DF,Recreativo,32,1976,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
69,Mate Bilić,hr CRO,FW,Sporting Gijón,27,1980,37,22,"2,202",24.5,11,3,8,3,4,4,0,0.45,0.12,0.57,0.33,0.45,Matches,2008-2009
70,Kepa Blanco,es ESP,FW,Getafe,24,1984,4,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
71,Rodolfo Bodipo,gq EQG,FW,La Coruña,30,1977,21,14,"1,085",12.1,5,0,5,0,0,3,0,0.41,0.00,0.41,0.41,0.41,Matches,2008-2009
72,Boris,es ESP,DF,Numancia,28,1980,29,29,"2,580",28.7,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
73,Alberto Botía,es ESP,DF,Barcelona,19,1989,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
74,Iago Bouzón,es ESP,DF,Recreativo,25,1983,28,28,"2,432",27.0,0,1,0,0,0,9,1,0.00,0.04,0.04,0.00,0.04,Matches,2008-2009
75,Eneko Bóveda,es ESP,DF,Athletic Club,19,1988,2,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
76,Omar Bravo,mx MEX,FW,La Coruña,28,1980,9,2,299,3.3,1,1,0,1,1,0,1,0.30,0.30,0.60,0.00,0.30,Matches,2008-2009
78,Raúl Bravo,es ESP,DF,Numancia,27,1981,6,6,540,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
79,Gorka Brit,es ESP,FW,Numancia,30,1978,31,11,"1,235",13.7,3,1,3,0,1,5,1,0.22,0.07,0.29,0.22,0.29,Matches,2008-2009
80,Renan Brito Soares,br BRA,GK,Valencia,23,1985,19,19,"1,661",18.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
