,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
226,Theo Hernández,fr FRA,DF,Real Sociedad,20,1997,24,22,"1,976",22.0,1,2,1,0,0,5,1,0.05,0.09,0.14,0.05,0.14,0.9,0.9,1.5,2.4,0.04,0.07,0.11,0.04,0.11,Matches,2018-2019
227,Yangel Herrera,ve VEN,"MF,DF",Huesca,20,1998,16,14,"1,154",12.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,1.1,0.06,0.02,0.09,0.06,0.09,Matches,2018-2019
228,Iago Herrerín,es ESP,GK,Athletic Club,30,1988,31,31,"2,790",31.0,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,2018-2019
229,Pablo Hervías,es ESP,MF,Eibar,25,1993,3,2,180,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.1,0.1,0.3,0.4,0.07,0.15,0.22,0.07,0.22,Matches,2018-2019
230,Pablo Hervías,es ESP,"MF,FW",Valladolid,25,1993,3,2,160,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.10,0.15,0.06,0.15,Matches,2018-2019
231,Andrew Hjulsager,dk DEN,"MF,FW",Celta Vigo,23,1995,15,2,359,4.0,0,3,0,0,0,1,0,0.00,0.75,0.75,0.00,0.75,0.1,0.1,1.0,1.1,0.02,0.25,0.27,0.02,0.27,Matches,2018-2019
232,Wesley Hoedt,nl NED,DF,Celta Vigo,24,1994,10,9,893,9.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04,Matches,2018-2019
234,Robert Ibáñez,es ESP,"FW,MF",Getafe,25,1993,7,0,76,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.25,0.00,0.25,0.25,0.25,Matches,2018-2019
235,Vicente Iborra,es ESP,"MF,FW",Villarreal,30,1988,19,19,"1,665",18.5,3,1,3,0,0,7,0,0.16,0.05,0.22,0.16,0.22,1.9,1.9,0.7,2.6,0.11,0.04,0.14,0.11,0.14,Matches,2018-2019
236,Borja Iglesias,es ESP,FW,Espanyol,25,1993,37,35,"3,075",34.2,17,3,14,3,3,5,0,0.50,0.09,0.59,0.41,0.50,16.6,14.3,3.5,17.8,0.49,0.10,0.59,0.42,0.52,Matches,2018-2019
