club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atalanta BC,Santos,23,Centre-Back,Monza,?,in,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Claudio Rivalta,26,Centre-Back,Vicenza,?,in,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Marco Motta,18,Right-Back,Atalanta U19,-,in,Summer,0,Serie A,2004,2004/2005
Atalanta BC,Marino Defendi,18,Right Midfield,Atalanta U19,-,in,Summer,0,Serie A,2004,2004/2005
Atalanta BC,Massimo Gotti,18,Left-Back,Atalanta U19,-,in,Summer,0,Serie A,2004,2004/2005
Atalanta BC,Davor Vugrinec,29,Centre-Forward,Catania,free transfer,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Michele Magrin,18,Central Midfield,Monza,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Alessandro Wilson,21,defence,Monza,?,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Tiberio Guarente,18,Central Midfield,Hellas Verona,?,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Rolando Bianchi,21,Centre-Forward,Cagliari Calcio,?,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Alex Pinardi,23,Defensive Midfield,Lecce,?,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Mauro Minelli,23,Centre-Back,UC AlbinoLeffe,?,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Fausto Rossini,26,Centre-Forward,Sampdoria,?,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Stefano Lorenzi,27,Centre-Back,Arezzo,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Biagio Pagano,21,Right Winger,Sampdoria,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Atalanta BC,Luigi Della Rocca,19,Centre-Forward,Bologna,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Atalanta BC,Mohamed Sarr,20,Centre-Back,AC Milan,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Atalanta BC,Vlado Smit,24,Left-Back,Bologna,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Juventus FC,Émerson,28,Defensive Midfield,AS Roma,€28.00m,in,Summer,28,Serie A,2004,2004/2005
Juventus FC,Zlatan Ibrahimovic,22,Centre-Forward,Ajax,€16.00m,in,Summer,16,Serie A,2004,2004/2005
Juventus FC,Matteo Brighi,23,Central Midfield,Parma,€11.50m,in,Summer,11.5,Serie A,2004,2004/2005
Juventus FC,Fabio Cannavaro,30,Centre-Back,Inter,€10.00m,in,Summer,10,Serie A,2004,2004/2005
Juventus FC,Fabián Carini,24,Goalkeeper,Standard Liège,€5.20m,in,Summer,5.2,Serie A,2004,2004/2005
Juventus FC,Benjamin Onwuachi,20,Centre-Forward,Reggiana U19,€420Th.,in,Summer,0.42,Serie A,2004,2004/2005
Juventus FC,Olivier Kapo,23,Attacking Midfield,AJ Auxerre,free transfer,in,Summer,NA,Serie A,2004,2004/2005
Juventus FC,Jonathan Zebina,25,Centre-Back,AS Roma,free transfer,in,Summer,NA,Serie A,2004,2004/2005
Juventus FC,Rey Volpato,17,Centre-Forward,Padova,?,in,Summer,NA,Serie A,2004,2004/2005
Juventus FC,Raffaele Palladino,20,Left Winger,Juventus U19,-,in,Summer,0,Serie A,2004,2004/2005
Juventus FC,Matteo Brighi,23,Central Midfield,AS Roma,€16.00m,out,Summer,16,Serie A,2004,2004/2005
Juventus FC,Marco Di Vaio,27,Centre-Forward,Valencia,€11.00m,out,Summer,11,Serie A,2004,2004/2005
Juventus FC,Fabián Carini,24,Goalkeeper,Inter,€10.00m,out,Summer,10,Serie A,2004,2004/2005
Juventus FC,Fabrizio Miccoli,25,Centre-Forward,Fiorentina,€7.00m,out,Summer,7,Serie A,2004,2004/2005
Juventus FC,Cristian Zenoni,27,Right-Back,Sampdoria,€1.00m,out,Summer,1,Serie A,2004,2004/2005
Juventus FC,Antonio Nocerino,19,Central Midfield,Genoa,€450Th.,out,Summer,0.45,Serie A,2004,2004/2005
Juventus FC,Salvatore Fresi,31,Centre-Back,Catania,free transfer,out,Summer,NA,Serie A,2004,2004/2005
Juventus FC,Edgar Davids,31,Central Midfield,Inter,free transfer,out,Summer,NA,Serie A,2004,2004/2005
Juventus FC,Abdoulay Konko,20,Right-Back,FC Crotone,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Juventus FC,Orlando Urbano,20,Centre-Back,Reggiana,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
